agent,fAPV,annualized_return,sharpe_annualized,max_drawdown,avg_daily_turnover
BTC-hold,8.146321202600411,0.3810697106031318,0.8294577469404385,0.7719858593042455,0.00042141120075854017
UBAH,1.3933643429351419,0.05238464063318693,0.49679944060203074,0.9200924031219884,0.010520173540402732
UCRP,0.32073299825643875,-0.16056821080152972,0.2468771962355019,0.9728844154619587,0.14546783415137943
EIIE,7.55239915813011e-07,-0.8857878957736579,-0.32448304863544264,0.9999999740791945,1.0606516822989338
RMR,2.9635690731545904e-115,-1.0,-21.224126668684512,1.0,46.829536227320375
OLMAR,1.2794413427145323e-115,-1.0,-21.2483843384341,1.0,46.736346532583084
PAMR,3.310933924626147e-151,-1.0,-30.01247044690843,1.0,60.68367072321112
