,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2021-01,BTCUSDT,ETHUSDT,XRPUSDT,LTCUSDT,BCHUSDT,BNBUSDT,LINKUSDT,ADAUSDT,XLMUSDT,DOTUSDT,EOSUSDT,YFIUSDT,TRXUSDT,SUSHIUSDT,ZILUSDT,VETUSDT,UNIUSDT,FILUSDT,AAVEUSDT,THETAUSDT,ETCUSDT,EGLDUSDT,XMRUSDT,ZECUSDT,DASHUSDT,SXPUSDT,WAVESUSDT,SNXUSDT,NEOUSDT,OMGUSDT
2021-02,BTCUSDT,ETHUSDT,XRPUSDT,LTCUSDT,DOTUSDT,LINKUSDT,ADAUSDT,BNBUSDT,BCHUSDT,XLMUSDT,DOGEUSDT,EOSUSDT,TRXUSDT,UNIUSDT,YFIUSDT,VETUSDT,SUSHIUSDT,GRTUSDT,AAVEUSDT,SXPUSDT,ZECUSDT,NEOUSDT,ETCUSDT,CRVUSDT,ATOMUSDT,IOSTUSDT,XTZUSDT,DASHUSDT,THETAUSDT,EGLDUSDT
2021-03,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,DOTUSDT,LTCUSDT,LINKUSDT,EOSUSDT,XLMUSDT,BCHUSDT,GRTUSDT,UNIUSDT,SXPUSDT,TRXUSDT,AAVEUSDT,VETUSDT,SUSHIUSDT,1INCHUSDT,EGLDUSDT,FILUSDT,ATOMUSDT,REEFUSDT,LUNAUSDT,FTMUSDT,ALGOUSDT,AVAXUSDT,ONTUSDT,NEOUSDT
2021-04,BTCUSDT,ETHUSDT,BNBUSDT,ADAUSDT,CHZUSDT,XRPUSDT,DOTUSDT,LTCUSDT,FILUSDT,ENJUSDT,THETAUSDT,BTTUSDT,VETUSDT,TRXUSDT,HOTUSDT,SXPUSDT,LINKUSDT,LUNAUSDT,UNIUSDT,DOGEUSDT,ONEUSDT,EOSUSDT,MATICUSDT,XEMUSDT,REEFUSDT,ANKRUSDT,AVAXUSDT,TFUELUSDT,ONTUSDT,XLMUSDT
2021-05,BTCUSDT,BNBUSDT,DOGEUSDT,ETHUSDT,XRPUSDT,ADAUSDT,WINUSDT,BTTUSDT,TRXUSDT,CHZUSDT,VETUSDT,DOTUSDT,LTCUSDT,HOTUSDT,FILUSDT,EOSUSDT,LINKUSDT,BCHUSDT,DENTUSDT,SXPUSDT,XLMUSDT,THETAUSDT,CAKEUSDT,SOLUSDT,MATICUSDT,NEOUSDT,ETCUSDT,ONTUSDT,UNIUSDT,ENJUSDT
2021-06,BTCUSDT,ETHUSDT,DOGEUSDT,BNBUSDT,XRPUSDT,ADAUSDT,MATICUSDT,ETCUSDT,DOTUSDT,EOSUSDT,LTCUSDT,LINKUSDT,VETUSDT,BCHUSDT,TRXUSDT,SOLUSDT,XLMUSDT,FILUSDT,BTTUSDT,SXPUSDT,THETAUSDT,CHZUSDT,CAKEUSDT,AAVEUSDT,UNIUSDT,ONTUSDT,LUNAUSDT,SUSHIUSDT,XVSUSDT,ZECUSDT
2021-07,BTCUSDT,ETHUSDT,BNBUSDT,DOGEUSDT,ADAUSDT,MATICUSDT,XRPUSDT,DOTUSDT,SOLUSDT,SHIBUSDT,LINKUSDT,FILUSDT,VETUSDT,THETAUSDT,LTCUSDT,CHZUSDT,ETCUSDT,TFUELUSDT,EOSUSDT,ICPUSDT,TRXUSDT,KSMUSDT,CAKEUSDT,SXPUSDT,BCHUSDT,UNIUSDT,LUNAUSDT,XLMUSDT,BAKEUSDT,AAVEUSDT
2021-08,BTCUSDT,ETHUSDT,BNBUSDT,DOGEUSDT,ADAUSDT,AXSUSDT,XRPUSDT,MATICUSDT,DOTUSDT,LINKUSDT,THETAUSDT,ETCUSDT,SOLUSDT,EOSUSDT,ALICEUSDT,TLMUSDT,SHIBUSDT,LTCUSDT,ICPUSDT,AAVEUSDT,FILUSDT,SANDUSDT,LUNAUSDT,VETUSDT,CHZUSDT,SLPUSDT,UNIUSDT,RUNEUSDT,TRXUSDT,BCHUSDT
2021-09,BTCUSDT,ETHUSDT,ADAUSDT,DOGEUSDT,BNBUSDT,XRPUSDT,SOLUSDT,DOTUSDT,AXSUSDT,MATICUSDT,LUNAUSDT,ALICEUSDT,ICPUSDT,LINKUSDT,FILUSDT,ETCUSDT,AVAXUSDT,THETAUSDT,TLMUSDT,VETUSDT,EOSUSDT,LTCUSDT,SHIBUSDT,CHZUSDT,TRXUSDT,RUNEUSDT,SANDUSDT,UNIUSDT,ATOMUSDT,DENTUSDT
2021-10,BTCUSDT,ETHUSDT,SOLUSDT,ADAUSDT,DOTUSDT,AVAXUSDT,BNBUSDT,XRPUSDT,FTMUSDT,FILUSDT,LUNAUSDT,ATOMUSDT,FTTUSDT,DOGEUSDT,LINKUSDT,MATICUSDT,ALGOUSDT,TRXUSDT,LTCUSDT,OMGUSDT,EOSUSDT,THETAUSDT,NEARUSDT,ICPUSDT,AXSUSDT,XTZUSDT,VETUSDT,SHIBUSDT,SRMUSDT,ETCUSDT
