,ret
2020-01-02,-0.00231806948004947
2020-01-03,-0.022566924040636975
2020-01-04,-0.0038423681769047687
2020-01-05,-0.002433818702853455
2020-01-06,0.04734911366125013
2020-01-07,0.001669475145972502
2020-01-08,-0.0069725438031180064
2020-01-09,-0.003669069451422264
2020-01-10,0.028431195621650654
2020-01-11,-0.0017696176817123337
2020-01-12,0.015071001848895182
2020-01-13,-0.013444607253853193
2020-01-14,0.11019427197624132
2020-01-15,0.030594014975993324
2020-01-16,-0.017512081004231395
2020-01-17,0.0468760283125712
2020-01-18,-0.011634714247536452
2020-01-19,-0.05308751132656617
2020-01-20,0.009525482667298895
2020-01-21,0.005373489722964187
2020-01-22,-0.001194396777256984
2020-01-23,-0.018330657542782482
2020-01-24,-0.007399298096952727
2020-01-25,-0.002970355165189798
2020-01-26,0.0
2020-01-27,-0.001516195675525188
2020-01-28,0.01898451039428709
2020-01-29,-0.004590667283091697
2020-01-30,0.0398577522738371
2020-01-31,-0.022216470225114787
2020-02-01,0.01746661595747433
2020-02-02,0.014217767353236665
2020-02-03,0.01569663521487334
2020-02-04,-0.006934389677438155
2020-02-05,0.04026495738243104
2020-02-06,0.044594156110299044
2020-02-07,0.009880436736491558
2020-02-08,-0.00981922570686951
2020-02-09,0.04009779816686682
2020-02-10,-0.011294626270418566
2020-02-11,0.04337982408410882
2020-02-12,0.005480777976188732
2020-02-13,0.008034732950810171
2020-02-14,0.017046971470724474
2020-02-15,-0.008712421334029283
2020-02-16,-0.007449472026382697
2020-02-17,-0.002565766842650183
2020-02-18,-2.7000688343704704e-05
2020-02-19,-0.007368988619785164
2020-02-20,0.0004483365223107239
2020-02-21,0.00040055733582802154
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0009349579303522717
2020-03-05,0.004318534789800914
2020-03-06,-0.004531126221525283
