,ret
2020-01-02,-0.00010069481944791288
2020-01-03,-0.0038990337279706036
2020-01-04,-0.0010281856092281118
2020-01-05,-0.007060035861072496
2020-01-06,0.034991464070449715
2020-01-07,0.011074717975776886
2020-01-08,-0.01647616141058018
2020-01-09,-0.015013301945835354
2020-01-10,0.03355656270141592
2020-01-11,-0.010146980998774913
2020-01-12,0.02464571536031742
2020-01-13,-0.020609750762748333
2020-01-14,0.13475368488915232
2020-01-15,0.011435338425375058
2020-01-16,-0.014324863256974064
2020-01-17,0.033264953627314846
2020-01-18,-0.006308474527445912
2020-01-19,-0.04276544648627322
2020-01-20,-0.0013475770106380987
2020-01-21,0.005179668602720111
2020-01-22,-0.0026096984483393263
2020-01-23,-0.00959617012219937
2020-01-24,-0.0020636557215050655
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,-0.0019367876047713748
2020-01-28,0.00545675545702784
2020-01-29,-0.006275975424051724
2020-01-30,0.028074327937622916
2020-01-31,-0.01687443801884116
2020-02-01,0.0106569395527178
2020-02-02,-0.0005245108286245069
2020-02-03,-5.723573397144979e-05
2020-02-04,-0.002763223003270009
2020-02-05,0.02616408931600281
2020-02-06,0.013420191610955657
2020-02-07,0.011705558230261998
2020-02-08,8.31943746000018e-05
2020-02-09,0.021410722394583002
2020-02-10,0.005384634205322693
2020-02-11,-3.061832209712001e-05
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0036462122401557094
2020-02-15,-0.002762169913901971
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,-0.0033678812059359034
2020-03-05,0.0015443014436352057
2020-03-06,-0.000694720787978355
2020-03-07,-0.006096709274430169
2020-03-08,-4.099698280310778e-05
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,-0.005609058203052164
2020-03-17,-0.001882629329958468
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,-0.003072604940627754
2020-04-03,-0.0006744312978430102
2020-04-04,0.004021266541900893
2020-04-05,-0.0027019666262270824
2020-04-06,0.04209140568809043
2020-04-07,-0.001990496632376967
2020-04-08,0.006944737597343111
2020-04-09,-0.0010033498936194458
2020-04-10,-0.010329573613099571
2020-04-11,0.0
2020-04-12,-0.0011589316092858529
2020-04-13,-0.001124579993883375
2020-04-14,-0.0006211297365597229
2020-04-15,-0.003715637379041571
2020-04-16,0.0024109736197606203
2020-04-17,-0.0002355858154121686
2020-04-18,0.0077253008782467705
2020-04-19,-0.007562991364466292
2020-04-20,-0.011999873604959911
2020-04-21,-4.066139802174036e-05
2020-04-22,0.0
2020-04-23,0.0005004804650531962
2020-04-24,0.005168062915190939
2020-04-25,0.004598117869629518
2020-04-26,0.002015673654727549
2020-04-27,-0.0041553741670834025
2020-04-28,0.0020229119201631693
2020-04-29,0.02594431351454077
2020-04-30,-0.00939020136126087
2020-05-01,0.0014155735968686943
2020-05-02,0.0018847164489315452
2020-05-03,-0.0032281999998734143
2020-05-04,-0.0035998332061213593
2020-05-05,-0.00020990887821450177
2020-05-06,-0.0012406917307297629
2020-05-07,0.004080678488775991
2020-05-08,-0.0002510649294382732
2020-05-09,-0.0011137498121264833
2020-05-10,-0.008890905132670135
2020-05-11,0.0005444669949306192
2020-05-12,-0.0032160315581183166
2020-05-13,-0.0031709395847826717
2020-05-14,-0.0019368598446545624
2020-05-15,-1.8297586923815163e-05
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,-0.0018678471511080583
2020-05-22,-0.0030062070713854612
2020-05-23,-1.7005651729748525e-05
2020-05-24,0.004470960457851791
2020-05-25,-0.0030183089401881694
2020-05-26,0.0005746662133774636
2020-05-27,-0.0028904826974134024
2020-05-28,-0.002729398156529887
2020-05-29,9.932007638076543e-05
2020-05-30,0.018616588844999196
2020-05-31,-0.023568564209601746
2020-06-01,0.03280120965991525
2020-06-02,-0.020349579471487626
2020-06-03,0.005933734439956938
2020-06-04,0.002748723855137464
2020-06-05,-0.007000312984235504
2020-06-06,0.000856926790619306
2020-06-07,0.00028400811025665795
2020-06-08,0.0012893542524047199
2020-06-09,-0.006601011698216751
2020-06-10,0.0005587690968078774
2020-06-11,-0.012706761795870289
2020-06-12,-2.428062799264903e-05
2020-06-13,0.0
2020-06-14,0.0
2020-06-15,0.0
2020-06-16,0.0
2020-06-17,0.0
2020-06-18,0.0
2020-06-19,0.0
2020-06-20,0.0
2020-06-21,0.0
2020-06-22,0.0
2020-06-23,0.006112686940906731
2020-06-24,-0.0020773073545209734
2020-06-25,0.0022707515421330694
2020-06-26,-0.004666533841612432
2020-06-27,-0.0006943358369422109
2020-06-28,-0.0010492201329030462
2020-06-29,-0.000208699947164237
2020-06-30,0.0010383075615933322
2020-07-01,0.00806926712861475
2020-07-02,-0.003470727719271551
2020-07-03,0.005052722713519651
2020-07-04,0.023967727866763013
2020-07-05,0.013325686925821369
2020-07-06,0.006038644471393671
2020-07-07,0.02924075702365098
2020-07-08,0.04263352482359144
2020-07-09,-0.018615557000560477
2020-07-10,0.0007251118476507742
2020-07-11,0.0004613411826836837
2020-07-12,0.00745673528134882
2020-07-13,-0.004528269099720261
2020-07-14,-0.00010030913617515513
2020-07-15,0.0003956366769513067
2020-07-16,-0.0066801706387021546
2020-07-17,-0.00042348062129234543
2020-07-18,-0.0016693219137598086
2020-07-19,0.0
2020-07-20,0.0
2020-07-21,0.0
2020-07-22,0.00032265512501160337
2020-07-23,0.00019490946267876135
2020-07-24,-0.0017342486389875151
2020-07-25,0.01929518223147054
2020-07-26,0.006658287389265712
2020-07-27,0.002467891541765257
2020-07-28,0.00036459641833840284
2020-07-29,-1.2519992932720591e-05
2020-07-30,0.0
2020-07-31,1.5317781440294772e-05
2020-08-01,0.021580116052928897
2020-08-02,0.003096110832446966
2020-08-03,0.0007227804953308698
2020-08-04,0.006004759165382742
2020-08-05,-0.0015905919001807918
2020-08-06,0.00479535889092857
2020-08-07,-0.004722783779164542
2020-08-08,0.023251655901342858
2020-08-09,-0.0006408187356201148
2020-08-10,-0.0009863286802044551
2020-08-11,-0.0054344576633580085
2020-08-12,0.011631441186841876
2020-08-13,0.004682057469002009
2020-08-14,-0.003116868611215
2020-08-15,0.004586031003956154
2020-08-16,-0.00028303036833816637
2020-08-17,-0.0016543670539220664
2020-08-18,0.00013192546507178576
2020-08-19,0.0
2020-08-20,0.0
2020-08-21,0.0
2020-08-22,0.0
2020-08-23,0.0
2020-08-24,0.0
2020-08-25,0.0
2020-08-26,0.0
2020-08-27,0.0
2020-08-28,0.0
2020-08-29,0.0
2020-08-30,0.0
2020-08-31,0.0
2020-09-01,0.00620231975966781
2020-09-02,-1.7387190038229993e-05
2020-09-03,0.0
2020-09-04,0.0
2020-09-05,0.0
2020-09-06,0.0
2020-09-07,0.0
2020-09-08,0.0
2020-09-09,0.0
2020-09-10,-0.00040653615883845794
2020-09-11,0.0005625622255095272
2020-09-12,0.010494155111910491
2020-09-13,0.0069119724078888015
2020-09-14,0.0004895054266800811
2020-09-15,-0.006006218923466852
2020-09-16,0.0
2020-09-17,0.0
2020-09-18,-0.0012228089963722578
2020-09-19,0.0041414817176549865
2020-09-20,0.005863022044800315
2020-09-21,0.030027324550276745
2020-09-22,-0.025194419686553962
2020-09-23,0.019994608947571685
2020-09-24,-0.009671310627115763
2020-09-25,-0.002642714566788267
2020-09-26,-0.0016864894358906736
2020-09-27,-0.00107432875857297
2020-09-28,-0.0005979423177923618
2020-09-29,-0.00018833062279780528
2020-09-30,-0.0004446743136619422
2020-10-01,0.0003710276162259757
2020-10-02,0.0004908742526408079
2020-10-03,-8.946823435381972e-06
2020-10-04,-0.000611971949038238
2020-10-05,-0.00013339931856076682
2020-10-06,-0.013711039462546938
2020-10-07,-0.00038018217987510387
2020-10-08,-0.0011102193797099145
2020-10-09,0.0008676691131912497
2020-10-10,-0.0006799944489769941
2020-10-11,0.0017462151659851338
