,PG-A2,PG-B3,PG-C1,M10,CT
2019,,,,0.0,
2020,488.0,70.4,318.8,92.5,24.9
2021,100.1,33.2,104.3,59.2,30.5
2022,0.0,5.6,10.2,8.2,36.7
2023,180.6,32.0,96.1,122.3,9.8
2024,94.4,26.5,110.2,61.9,-10.2
2025,73.8,15.7,63.1,115.0,-13.8
2026,41.3,8.6,33.2,-3.7,41.2
