,total%,CAGR%,vol%,Sharpe,Sortino,MDD%,Calmar,worstMo%,posMo%,bestYr%,worstYr%
A2 n=10,8682.144055166951,102.7917195080993,68.17915972647701,1.3635528032190936,2.0410296886166415,57.386696063906285,1.7912116667882332,-27.54943108695911,52.63157894736842,279.95770180841316,0.04224711535878445
A2 n=20,19191.252960201593,129.636796068722,91.20034260087523,1.3465753901248014,2.254986873260407,74.95565805317435,1.729513147316461,-33.638676329713135,55.26315789473685,517.5744700742133,-41.664884184632754
A2 n=30,15393.594478101097,121.81988178157278,104.12169190782672,1.2633837386389772,2.1674977474541746,82.85638277020112,1.4702534398518865,-32.43191646896874,57.89473684210527,613.0009716859167,-47.67615400331856
C1 n=10,5185.758103985927,87.161564846543,68.90628282980192,1.2403540471691787,1.8536666818427672,65.30391245593682,1.3347066288770129,-30.63869476925989,53.94736842105263,194.78485064850534,10.215574834049534
C1 n=20,6814.256375495016,95.27344212250523,92.91202292590053,1.1645675125758204,1.904527852729038,82.6203687375325,1.1531471425063338,-44.39261876134388,51.31578947368421,327.748901019266,-41.655687910153596
C1 n=30,9574.987314222995,105.91750003285432,110.19587127853185,1.1765777893467226,2.050463202238268,82.55747512725134,1.2829546914994265,-40.43165664907067,59.210526315789465,615.5797071508283,-29.254900462388623
B3 n=10,316.42218434810854,25.277772607367368,16.05256780501997,1.4838600790380096,2.2773832949759973,18.200000000000017,1.3888886048004034,-6.461513696953891,57.89473684210527,47.80056501745502,4.909983281031272
B3 n=20,542.0822780144691,34.14770895614696,19.89297100561778,1.5756439363693722,2.728851283495926,18.19999999999994,1.876247744843246,-7.918146886044452,59.210526315789465,76.23817021937931,3.0804445548657577
B3 n=30,335.2408913719412,26.155614363492298,18.92111443407752,1.321844237847523,2.3301947039338757,18.199999999999672,1.4371216683237784,-5.938157381475584,59.210526315789465,56.78103629070728,-2.0089875029080217
