,PG-A2,PG-B3,PG-C1,M10,CT
n_trades,1241.0,5864.0,1024.0,593.0,2790.0
trades_per_month,15.931226275832982,75.27857444116407,13.1455082243779,8.119405083220872,36.306380932022236
n,1241.0,5864.0,1024.0,593.0,2790.0
win_rate_pct,52.94117647058823,51.99522510231924,53.02734375,34.56998313659359,31.863799283154123
profit_factor,3.8686831913549287,3.0433407139961175,3.6015324270536637,1.894874107184877,1.1985037588196978
avg_pnl,0.012725924938219689,0.011546290434753047,0.01378151496878206,0.008171948834262638,8.2945439485356
avg_win,0.03241726319557587,0.0330741584259331,0.0359795041634737,0.050054703170171785,157.1685405791285
avg_loss,-0.009426830601306014,-0.011771105481803962,-0.01127775349840622,-0.013956826008163588,-61.32617304493999
payoff,3.438829503426603,2.8097750442437097,3.1903077300420115,3.5863958711596697,2.5628297474873403
total_pnl,15.792872848330633,67.70744710939186,14.11227132803283,4.845965658717745,23141.77761641432
avg_hold_days,4.185334407735697,4.706091547294225,5.188639322916666,1.0754813097245646,5.157347670250896
med_hold_days,2.3333333333333335,2.6666666666666665,3.1666666666666665,0.625,3.6666666666666665
long_n,772.0,3927.0,659.0,185.0,1517.0
long_win_rate_pct,52.2020725388601,51.642475171886936,52.20030349013657,35.13513513513514,28.806855636123927
long_profit_factor,3.5359969372997404,2.958544787731149,3.5164414255802248,1.677356917634706,1.1553758854833462
long_avg_pnl,0.012813644776643462,0.01072630756827736,0.013178793708239107,0.0056327489845388904,6.810314824464746
long_avg_win,0.03422536511334784,0.03137529640167979,0.03527923779265649,0.03969965049284344,175.7968199809445
long_avg_loss,-0.010570971200841267,-0.01132537718903708,-0.010956294434743686,-0.012820155999126075,-61.56663216940714
long_payoff,3.2376746150461644,2.770353329339967,3.2199972356330546,3.0966589248640726,2.855391204398201
long_total_pnl,9.892133767568753,42.122209820625194,8.684825053729572,1.0420585621396947,10331.24758871302
long_avg_hold_days,4.991364421416234,4.66900623885918,5.212948912493678,1.17134009009009,4.700725115359262
long_med_hold_days,2.8333333333333335,2.5,3.0,0.7013888888888888,3.0
short_n,469.0,1937.0,365.0,408.0,1273.0
short_win_rate_pct,54.15778251599147,52.7103768714507,54.52054794520548,34.31372549019608,35.50667714061272
short_profit_factor,4.677433667203196,3.200166987583847,3.7503485861943964,1.9811901272440033,1.2557548851672833
short_avg_pnl,0.01258153322124068,0.013208692456771639,0.01486971582000893,0.00932330170729914,10.063260037471562
short_avg_win,0.0295485030661975,0.03644858759849501,0.03719001487483613,0.054862406198931374,139.15845629020464
short_avg_loss,-0.007463166037452488,-0.012695164464297751,-0.011887751119211634,-0.014465782728628142,-61.0098565352877
short_payoff,3.9592450332625484,2.871060686216262,3.1284314839611547,3.792563957867092,2.280917612217565
short_total_pnl,5.900739080761879,25.585237288766663,5.427446274303259,3.8039070965780493,12810.530027701298
short_avg_hold_days,2.858564321250888,4.7812768886594395,5.144748858447489,1.032015931372549,5.701492537313433
short_med_hold_days,1.8333333333333333,3.3333333333333335,3.8333333333333335,0.59375,4.333333333333333
pct_long,62.20789685737309,66.96793997271487,64.35546875,31.197301854974707,54.37275985663083
pct_short,37.792103142626914,33.032060027285134,35.64453125,68.8026981450253,45.62724014336917
