label,cagr,vol,sharpe,sortino,mdd,calmar,worst_mo,worst_yr
EW-5 [dev],69.8827554151552,33.66141421766407,1.7395065667909277,2.82702837296259,34.54896818018596,2.022716135853614,-13.653785988131318,14.834270947740213
EW-5 [holdout],52.29129888029509,37.38037796468661,1.3054955643835822,2.1214843946785558,30.87786659599785,1.6934880756001673,-11.922849924105616,14.755246898913654
IVW-5 [dev],51.75271252517128,21.138183765530012,2.0772186921363236,3.4334864765983832,12.619767526257641,4.100924396387706,-7.437419666160949,23.127540658901104
IVW-5 [holdout],37.926042978495914,24.53645325497632,1.4301931226198146,2.3210447495620388,16.772393835570398,2.2612182465011927,-4.756811878018485,8.623877130072021
SharpeTilt-5 [dev],84.53570144259581,33.407042856074376,1.997092727974714,3.440182799905713,31.20023423215741,2.709457269249174,-12.365376302446752,23.055697239688232
SharpeTilt-5 [holdout],41.83326176241779,35.289522958428,1.160252473275529,1.841109185170919,33.46021210874799,1.2502389891150965,-14.641956000003898,7.284834087043235
EW-3fam(B3/M10/CT) [dev],42.229427774524694,17.616510448198447,2.085861962671375,3.808222890480264,14.466969848211209,2.919023694498556,-5.8017616113928305,16.783391817014138
EW-3fam(B3/M10/CT) [holdout],24.581014105968045,15.87104584933786,1.4623414287385479,2.4427282694083905,10.423318965665352,2.3582713132869157,-3.6473580020137786,4.90845454803619
IVW-3fam(B3/M10/CT) [dev],38.81871379398687,14.74592117648764,2.2966977348262367,3.9900608114374307,13.262703337364968,2.926908097583925,-5.091942785069792,18.26488583168746
IVW-3fam(B3/M10/CT) [holdout],25.864789998245307,16.080705753038348,1.5089694911515026,2.5346720821475324,8.846330221778642,2.9237875310791797,-3.450345344161254,3.952795799898756
devOpt maxSharpe (frozen) [dev],45.258177164468115,15.750276031755348,2.4470998407875473,4.632011488008199,10.957280352856813,4.130420661607721,-4.923747524609611,6.899838355489396
devOpt maxSharpe (frozen) [holdout],36.080157695497064,15.169951438139414,2.104383918876981,3.805867537273164,8.622647190491017,4.184348135603409,-2.847768879824064,0.5107087010660649
PG-B3 [dev],29.292545010607295,15.569395979873102,1.726614995110417,2.6611528714963635,18.20000000000008,1.6094804950883057,-6.461513696953924,5.494797424337827
PG-B3 [holdout],19.54283827162653,16.810562987628437,1.1441194770970804,1.7517480552461318,11.126552452413573,1.75641451880158,-4.131668412221523,5.105082061311039
M10 [dev],66.87864692842123,28.291295258473493,1.9457261511055803,3.1066617490720527,23.082825845587962,2.8973336009986133,-6.0900191599804865,7.911830590286573
M10 [holdout],60.88575885791305,26.026246792959164,1.95359184260788,3.368108257504759,17.17676752210673,3.54465756025121,-9.634807897726205,-6.474824104741406
CT [dev],25.24571193955538,31.708707099006123,0.8672274311979787,1.148605921496405,20.47553940540666,1.232969322062848,-8.903329064259403,8.218791723213759
CT [holdout],-3.3757101943270085,27.36522930588659,0.011022899534544377,0.01354458261213415,33.38505196152788,-0.10111442085568999,-9.07042109207098,-15.049274116229538
PG-A2 [dev],116.33523627987428,65.66559159567116,1.4927404476909263,2.161645080153658,57.38669606390625,2.02721613647739,-27.549431086959096,-1.9174861585104397
PG-A2 [holdout],83.13885099683141,72.13817455217419,1.1772498257567068,1.8536663159803717,48.19957121292234,1.7248877719173945,-26.49962462799743,27.08472457204847
PG-C1 [dev],90.89650363611031,63.941401030473386,1.3219619550343287,1.9284375611777587,65.30391245593688,1.3918998145393167,-30.638694769259878,8.0565556871546
PG-C1 [holdout],81.73085736934185,76.34059837771889,1.1413701534827552,1.764168354283606,57.036454184971184,1.432958246392489,-26.09930391498365,22.99347930703497
