date,from_sub,to_sub,amount_usd,pct_of_nav,pct_of_sender,drift_pp,nav,fee_usd
2020-03-02,M10,B3,91.89026716149783,0.8382733827570202,1.648902149854169,-0.838273382757021,10961.849565028228,0.18378053432299565
2020-04-02,B3,M10,116.85120265040041,1.110882572667181,2.173475621532807,1.1108825726671823,10518.771787898853,0.23370240530080083
2020-05-02,B3,M10,159.16388533442841,1.4842891374972793,2.8829943315974327,1.4842891374972744,10723.239920949713,0.3183277706688568
2020-06-02,M10,B3,85.05267879350322,0.7997987502144922,1.5744132258223074,-0.7997987502144921,10634.260027374832,0.17010535758700643
2020-07-02,M10,B3,5.447912124295726,0.0516693701092508,0.10323206150663905,-0.05166937010925299,10543.794346198814,0.010895824248591453
2020-08-02,B3,M10,350.67231734489815,3.045664501450441,5.741589873696771,3.04566450145044,11513.819633708736,0.7013446346897964
2020-09-02,B3,M10,140.1046737302895,1.1933694268073471,2.331101547268816,1.1933694268073447,11740.260022004692,0.280209347460579
2020-10-02,B3,M10,28.433703524960947,0.23636783503385178,0.4705113948724086,0.23636783503385717,12029.430112979953,0.056867407049921895
2020-11-02,M10,B3,181.4355289327441,1.4850417554820323,2.8844140061786154,-1.4850417554820305,12217.537201427149,0.3628710578654882
2020-12-02,M10,B3,365.38898333534144,2.627722670127798,4.9930389095466765,-2.6277226701277967,13905.157781265058,0.7307779666706828
2021-01-02,M10,B3,1167.5885436460803,6.860865099381425,12.066058241270168,-6.860865099381424,17018.095046809038,2.335177087292161
2021-02-02,M10,B3,993.3463986910974,5.129245916025415,9.304037867375227,-5.129245916025416,19366.324308755866,1.9866927973821948
2021-03-02,M10,B3,680.3972285387263,3.007972882412681,5.674566897861293,-3.0079728824126795,22619.79263566309,1.3607944570774526
2021-04-02,M10,B3,590.2076131689264,2.4953559855638536,4.753479500643968,-2.495355985563852,23652.241066340775,1.180415226337853
2021-05-02,M10,B3,204.5943565550424,0.8327920927428188,1.638296970238062,-0.8327920927428178,24567.27895688904,0.4091887131100848
2021-06-02,M10,B3,264.83765406908424,1.0437342650087873,2.044784301222809,-1.0437342650087889,25374.04998070601,0.5296753081381684
2021-07-02,B3,M10,48.39510852019521,0.19232438758349876,0.383174897616568,0.1923243875834979,25163.271870128374,0.09679021704039042
2021-08-02,B3,M10,772.7114965096043,3.032632230585857,5.718426755436113,3.032632230585852,25479.89461815911,1.5454229930192087
2021-09-02,B3,M10,598.2308925789039,2.3052339699270283,4.407272073866309,2.305233969927023,25950.98373454217,1.1964617851578079
