,PG-A2,PG-B3,PG-C1,M10,CT
n_trades,1202.0,5669.0,993.0,592.0,2751.0
trades_per_month,15.831187797490266,74.63243403979239,13.07851038511467,8.113012156686178,35.84484696061644
n,1202.0,5669.0,993.0,592.0,2751.0
win_rate_pct,52.66222961730449,51.50820250485094,52.56797583081571,34.62837837837838,31.661214103962195
profit_factor,3.775099399811276,2.9756924959860047,3.507286577198683,1.9079474712374969,1.177612939878142
avg_pnl,0.012434084266519145,0.01131170551256998,0.013446704183991954,0.008248431161914776,7.377775076476541
avg_win,0.03211917722213567,0.03307656450377254,0.035781774451301596,0.050054703170171785,154.4990497389052
avg_loss,-0.009465149197286233,-0.01180702429983871,-0.01130681318232574,-0.013897010082769171,-60.78319845063802
payoff,3.3934147843485243,2.801431051871756,3.1646206472424896,3.6018325432629816,2.5418051974407656
total_pnl,14.945769288356011,64.12605855075921,13.352577254704011,4.883071247853547,20296.259235386966
avg_hold_days,4.179284525790349,4.7192957311695185,5.180765357502517,1.07690503003003,5.155579789167575
med_hold_days,2.3333333333333335,2.6666666666666665,3.1666666666666665,0.6267361111111112,3.6666666666666665
long_n,744.0,3779.0,637.0,184.0,1506.0
long_win_rate_pct,51.74731182795699,51.12463614712887,51.80533751962324,35.32608695652174,28.751660026560426
long_profit_factor,3.4135204428049586,2.879851986910027,3.3963487047059373,1.7188135034359442,1.1580962747033676
long_avg_pnl,0.012405277441551708,0.010435159396759635,0.012714339733976255,0.005865022561279875,6.905674022721082
long_avg_win,0.033905504747469305,0.03126909908494177,0.03478416341266967,0.03969965049284344,175.94064407835705
long_avg_loss,-0.01065206939069976,-0.011357570152546197,-0.011008923503707222,-0.01261607672906997,-61.306946698705175
long_payoff,3.1829969843298183,2.7531504243389335,3.1596334919537052,3.14675087552119,2.8698321079831723
long_total_pnl,9.22952641651447,39.43446736035466,8.099034410542874,1.079164151275497,10399.94507821795
long_avg_hold_days,5.014560931899641,4.703283496515834,5.217425431711146,1.17644172705314,4.707281983178397
long_med_hold_days,2.8333333333333335,2.5,3.0,0.7100694444444444,3.1666666666666665
short_n,458.0,1890.0,356.0,408.0,1245.0
short_win_rate_pct,54.148471615720524,52.27513227513227,53.93258426966292,34.31372549019608,35.18072289156626
short_profit_factor,4.660557844890875,3.150820906821737,3.699982121428199,1.9811901272440033,1.204089545449476
short_avg_pnl,0.012480879632841795,0.01306433396317701,0.014757142820677352,0.00932330170729914,7.948846712585554
short_avg_win,0.029346047797726586,0.03661100093006916,0.03749641842395023,0.054862406198931374,133.30222245812294
short_avg_loss,-0.007436080866641202,-0.012727358900780252,-0.011864448129495777,-0.014465782728628142,-60.08681447272468
short_payoff,3.9464401105930795,2.8765591679688325,3.160401395386587,3.792563957867092,2.2184937515473226
short_total_pnl,5.716242871841542,24.691591190404548,5.253542844161137,3.8039070965780493,9896.314157169014
short_avg_hold_days,2.8224163027656473,4.751311728395061,5.115168539325842,1.032015931372549,5.697858099062919
short_med_hold_days,1.6666666666666667,3.1666666666666665,3.6666666666666665,0.59375,4.333333333333333
pct_long,61.89683860232945,66.66078673487388,64.14904330312186,31.08108108108108,54.74372955288986
pct_short,38.10316139767055,33.33921326512612,35.85095669687814,68.91891891891892,45.25627044711014
