,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2022-02,BTCUSDT,ETHUSDT,FTMUSDT,BNBUSDT,LUNAUSDT,SOLUSDT,ADAUSDT,ATOMUSDT,DOTUSDT,LINKUSDT,MATICUSDT,SANDUSDT,SHIBUSDT,XRPUSDT,NEARUSDT
2022-03,BTCUSDT,ETHUSDT,SHIBUSDT,XRPUSDT,LUNAUSDT,BNBUSDT,SOLUSDT,GALAUSDT,AVAXUSDT,SANDUSDT,FTMUSDT,SLPUSDT,ADAUSDT,DOTUSDT,MANAUSDT
2022-04,BTCUSDT,ETHUSDT,LUNAUSDT,SOLUSDT,XRPUSDT,BNBUSDT,AVAXUSDT,FTMUSDT,SHIBUSDT,GALAUSDT,ADAUSDT,WAVESUSDT,DOTUSDT,SANDUSDT,NEARUSDT
2022-05,BTCUSDT,GMTUSDT,ETHUSDT,APEUSDT,LUNAUSDT,SOLUSDT,DOGEUSDT,NEARUSDT,BNBUSDT,ZILUSDT,SHIBUSDT,XRPUSDT,AVAXUSDT,FTMUSDT,ADAUSDT
2022-06,BTCUSDT,ETHUSDT,GMTUSDT,BNBUSDT,APEUSDT,SOLUSDT,TRXUSDT,XRPUSDT,ADAUSDT,AVAXUSDT,NEARUSDT,FTMUSDT,SHIBUSDT,DOTUSDT,GALAUSDT
2022-07,BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,ADAUSDT,TRXUSDT,XRPUSDT,GMTUSDT,AVAXUSDT,DOGEUSDT,SHIBUSDT,APEUSDT,GALAUSDT,LINKUSDT,MATICUSDT
2022-08,BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,MATICUSDT,ADAUSDT,XRPUSDT,GMTUSDT,AVAXUSDT,APEUSDT,ETCUSDT,SHIBUSDT,DOGEUSDT,SANDUSDT,DOTUSDT
2022-09,BTCUSDT,ETHUSDT,BNBUSDT,ETCUSDT,SOLUSDT,SHIBUSDT,ADAUSDT,DOGEUSDT,XRPUSDT,MATICUSDT,AVAXUSDT,CHZUSDT,NEARUSDT,OPUSDT,APEUSDT
2022-10,BTCUSDT,ETHUSDT,XRPUSDT,BNBUSDT,ETCUSDT,SOLUSDT,ADAUSDT,CHZUSDT,ATOMUSDT,SHIBUSDT,MATICUSDT,LINKUSDT,APEUSDT,DOGEUSDT,NEARUSDT
2022-11,BTCUSDT,ETHUSDT,XRPUSDT,DOGEUSDT,BNBUSDT,SOLUSDT,SHIBUSDT,MATICUSDT,LUNCUSDT,ADAUSDT,CHZUSDT,TRXUSDT,ATOMUSDT,LINKUSDT,ETCUSDT
