year,return,max_drawdown
2020,-0.29978667683457605,0.3571179543545666
2021,-0.1664576287801618,0.40216318695408426
2022,-0.18865922606420127,0.5036992763181727
2023,-0.13844098286043394,0.2252620163442577
2024,-0.19168971247114885,0.3138757887924696
2025,-0.078946631284038,0.34398279495115724
2026,-0.18599861888063074,0.28387206964323985
