,0
2020-01-02,0.999939759002811
2020-01-03,0.99760729014664
2020-01-04,0.9969936466160729
2020-01-05,0.9927826555256897
2020-01-06,1.0135653244896654
2020-01-07,1.0202806867323124
2020-01-08,1.010223865541737
2020-01-09,1.0011502814609439
2020-01-10,1.0212486944910575
2020-01-11,1.0150492412855217
2020-01-12,1.0300155108783853
2020-01-13,1.0173155749683653
2020-01-14,1.099328323763805
2020-01-15,1.1068490791643133
2020-01-16,1.0973634985828409
2020-01-17,1.119201981096302
2020-01-18,1.1149780400435592
2020-01-19,1.0864518120347193
2020-01-20,1.0855759230054143
2020-01-21,1.0889398549542106
2020-01-22,1.0872397362503932
2020-01-23,1.080997958800375
2020-01-24,1.0796633710186008
2020-01-25,1.0796633710186008
2020-01-26,1.0796633710186008
2020-01-27,1.078412376550142
2020-01-28,1.0819328768013337
2020-01-29,1.0778706274596943
2020-01-30,1.0959740642803548
2020-01-31,1.0849100017964395
2020-02-01,1.091826897705985
2020-02-02,1.0914842930406048
2020-02-03,1.0914469190242266
2020-02-04,1.0896426405009072
2020-02-05,1.1066985442968365
2020-02-06,1.1155838644357454
2020-02-07,1.123396172824043
2020-02-08,1.123452085712194
2020-02-09,1.1378424205782185
2020-02-10,1.1415078372541265
2020-02-11,1.1414869276741133
2020-02-12,1.1414869276741133
2020-02-13,1.1414869276741133
2020-02-14,1.1439769194443394
2020-02-15,1.142086523932075
2020-02-16,1.142086523932075
2020-02-17,1.142086523932075
2020-02-18,1.142086523932075
2020-02-19,1.142086523932075
2020-02-20,1.142086523932075
2020-02-21,1.142086523932075
2020-02-22,1.142086523932075
2020-02-23,1.142086523932075
2020-02-24,1.142086523932075
2020-02-25,1.142086523932075
2020-02-26,1.142086523932075
2020-02-27,1.142086523932075
2020-02-28,1.142086523932075
2020-02-29,1.142086523932075
2020-03-01,1.142086523932075
2020-03-02,1.142086523932075
2020-03-03,1.142086523932075
2020-03-04,1.138799198071651
2020-03-05,1.1403022231079667
2020-03-06,1.1396251785523352
2020-03-07,1.1336871195784135
2020-03-08,1.1336473974882475
2020-03-09,1.1336473974882475
2020-03-10,1.1336473974882475
2020-03-11,1.1336473974882475
2020-03-12,1.1336473974882475
2020-03-13,1.1336473974882475
2020-03-14,1.1336473974882475
2020-03-15,1.1336473974882475
2020-03-16,1.1282129558812555
2020-03-17,1.1263976789535335
2020-03-18,1.1263976789535335
2020-03-19,1.1263976789535335
2020-03-20,1.1263976789535335
2020-03-21,1.1263976789535335
2020-03-22,1.1263976789535335
2020-03-23,1.1263976789535335
2020-03-24,1.1263976789535335
2020-03-25,1.1263976789535335
2020-03-26,1.1263976789535335
2020-03-27,1.1263976789535335
2020-03-28,1.1263976789535335
2020-03-29,1.1263976789535335
2020-03-30,1.1263976789535335
2020-03-31,1.1263976789535335
2020-04-01,1.1263976789535335
2020-04-02,1.1234397655444113
2020-04-03,1.1227922137770834
2020-04-04,1.1266509868334982
2020-04-05,1.124049291927482
2020-04-06,1.1523543343972455
2020-04-07,1.1484336266824757
2020-04-08,1.1620662276088998
2020-04-09,1.1600732598678192
2020-04-10,1.1395906736501804
2020-04-11,1.1395906736501804
2020-04-12,1.1373331948793575
2020-04-13,1.1351469689115548
