,0
2020-01-02,0.999899305180552
2020-01-03,0.9960006640650787
2020-01-04,0.9949765905155054
2020-01-05,0.9879520201055382
2020-01-06,1.0225219077203895
2020-01-07,1.0338460494724462
2020-01-08,1.0168122350876474
2020-01-09,1.001546525980057
2020-01-10,1.0351549847774921
2020-01-11,1.024651286816168
2020-01-12,1.049904550774622
2020-01-13,1.0282662796584818
2020-01-14,1.166828949889722
2020-01-15,1.180172033816236
2020-01-16,1.1632662308121136
2020-01-17,1.2019622280362998
2020-01-18,1.1943796799377808
2020-01-19,1.1433014996511095
2020-01-20,1.1417608128339516
2020-01-21,1.1476747554680038
2020-01-22,1.1446796704394606
2020-01-23,1.1336951295865005
2020-01-24,1.131355573145887
2020-01-25,1.131355573145887
2020-01-26,1.131355573145887
2020-01-27,1.1291643776952291
2020-01-28,1.135325951575099
2020-01-29,1.1282006738047257
2020-01-30,1.1598741495005667
2020-01-31,1.1403019250551634
2020-02-01,1.152454053742324
2020-02-02,1.151849579111644
2020-02-03,1.151783652155559
2020-02-04,1.1486010170731322
2020-02-05,1.1786531166722853
2020-02-06,1.1944708673408777
2020-02-07,1.208452815632888
2020-02-08,1.2085533521091183
2020-02-09,1.2344293524301693
2020-02-10,1.2410763029453191
2020-02-11,1.2410383032713284
2020-02-12,1.2410383032713284
2020-02-13,1.2410383032713284
2020-02-14,1.2455633923232183
2020-02-15,1.2421229345950855
2020-02-16,1.2421229345950855
2020-02-17,1.2421229345950855
2020-02-18,1.2421229345950855
2020-02-19,1.2421229345950855
2020-02-20,1.2421229345950855
2020-02-21,1.2421229345950855
2020-02-22,1.2421229345950855
2020-02-23,1.2421229345950855
2020-02-24,1.2421229345950855
2020-02-25,1.2421229345950855
2020-02-26,1.2421229345950855
2020-02-27,1.2421229345950855
2020-02-28,1.2421229345950855
2020-02-29,1.2421229345950855
2020-03-01,1.2421229345950855
2020-03-02,1.2421229345950855
2020-03-03,1.2421229345950855
2020-03-04,1.2379396121082007
2020-03-05,1.2398513640383124
2020-03-06,1.2389900135217116
2020-03-07,1.2314362516153474
2020-03-08,1.2313857664445167
2020-03-09,1.2313857664445167
2020-03-10,1.2313857664445167
2020-03-11,1.2313857664445167
2020-03-12,1.2313857664445167
2020-03-13,1.2313857664445167
2020-03-14,1.2313857664445167
2020-03-15,1.2313857664445167
2020-03-16,1.2244788520101195
2020-03-17,1.2221736122094116
2020-03-18,1.2221736122094116
2020-03-19,1.2221736122094116
2020-03-20,1.2221736122094116
2020-03-21,1.2221736122094116
2020-03-22,1.2221736122094116
2020-03-23,1.2221736122094116
2020-03-24,1.2221736122094116
2020-03-25,1.2221736122094116
2020-03-26,1.2221736122094116
2020-03-27,1.2221736122094116
2020-03-28,1.2221736122094116
2020-03-29,1.2221736122094116
2020-03-30,1.2221736122094116
2020-03-31,1.2221736122094116
2020-04-01,1.2221736122094116
2020-04-02,1.218418355530232
2020-04-03,1.2175966160573959
2020-04-04,1.222492896591079
2020-04-05,1.2191897615836902
2020-04-06,1.2705071724492758
2020-04-07,1.2679782322011048
2020-04-08,1.2767840083028845
2020-04-09,1.2755029472039787
2020-04-10,1.2623275456171097
2020-04-11,1.2623275456171097
2020-04-12,1.2608645943232217
2020-04-13,1.2594466512254499
2020-04-14,1.258664371458763
2020-04-15,1.253987631072503
2020-04-16,1.257010962170525
2020-04-17,1.25671482821802
2020-04-18,1.2664233283841584
2020-04-19,1.2568453796878303
2020-04-20,1.2417633939905985
2020-04-21,1.2417129021549866
2020-04-22,1.2417129021549866
2020-04-23,1.2423343552057198
2020-04-24,1.248754817315126
2020-04-25,1.2544967391554085
2020-04-26,1.2570253951824657
2020-04-27,1.2518019843279566
2020-04-28,1.2543342694837376
2020-04-29,1.2868771110232562
2020-04-30,1.2747930758235502
2020-05-01,1.2765976392431568
2020-05-02,1.2790036638125055
2020-05-03,1.2748747841851478
2020-05-04,1.2702854476033913
2020-05-05,1.2700188034100728
2020-05-06,1.2684431015828106
2020-05-07,1.2736192100616757
2020-05-08,1.2732994489445704
2020-05-09,1.2718813119225276
2020-05-10,1.2605731358382084
2020-05-11,1.2612594763053684
2020-05-12,1.2572032260265946
2020-05-13,1.2532167105510705
2020-05-14,1.2507894054277542
2020-05-15,1.250766518999885
2020-05-16,1.250766518999885
2020-05-17,1.250766518999885
2020-05-18,1.250766518999885
2020-05-19,1.250766518999885
2020-05-20,1.250766518999885
2020-05-21,1.2484302783206696
2020-05-22,1.2446772383898503
2020-05-23,1.2446560718422184
2020-05-24,1.2502208799230503
2020-05-25,1.2464473270639687
2020-05-26,1.2471636182295869
2020-05-27,1.2435587133702508
2020-05-28,1.2401645465104414
2020-05-29,1.2402877197479256
2020-05-30,1.2633776462759743
2020-05-31,1.2336016490987434
2020-06-01,1.2740652754276485
2020-06-02,1.2481385828534708
2020-06-03,1.2555447057483875
2020-06-04,1.2589958514322694
2020-06-05,1.2501824864263895
2020-06-06,1.2512538012921715
2020-06-07,1.2516091675197278
2020-06-08,1.253222935122218
2020-06-09,1.2449503958670025
2020-06-10,1.2456460356752717
2020-06-11,1.2298179082179759
2020-06-12,1.2297880474668477
2020-06-13,1.2297880474668477
2020-06-14,1.2297880474668477
2020-06-15,1.2297880474668477
2020-06-16,1.2297880474668477
2020-06-17,1.2297880474668477
2020-06-18,1.2297880474668477
2020-06-19,1.2297880474668477
2020-06-20,1.2297880474668477
2020-06-21,1.2297880474668477
2020-06-22,1.2297880474668477
2020-06-23,1.2373053568046815
2020-06-24,1.234735093287203
2020-06-25,1.2375388699044105
2020-06-26,1.2317638528876909
2020-06-27,1.230908595101981
2020-06-28,1.2296171010222365
2020-06-29,1.229360479998221
2020-06-30,1.2306369342805272
2020-07-01,1.2405672724415762
2020-07-02,1.236261601221492
2020-07-03,1.2425080882938362
2020-07-04,1.2722881840263147
2020-07-05,1.2892422980460712
2020-07-06,1.2970275739214538
2020-07-07,1.3349536420634667
2020-07-08,1.3918674213007232
2020-07-09,1.3659570339822764
2020-07-10,1.366947505610999
2020-07-11,1.367578134789904
2020-07-12,1.3777758029175933
2020-07-13,1.3715368633228993
2020-07-14,1.3713992856449069
2020-07-15,1.3719418615010528
2020-07-16,1.362777055759847
2020-07-17,1.362199946085591
2020-07-18,1.359925995864668
2020-07-19,1.359925995864668
2020-07-20,1.359925995864668
