,EW,ADAPTIVE-RAW,META-GT
2020-01-02,0.9997489958450457,0.9997489958450457,0.9997489958450457
2020-01-03,0.9900322296773757,0.9997489958450457,0.9900322296773757
2020-01-04,0.9874947963657121,0.9997489958450457,0.9874947963657121
2020-01-05,0.9701161676109477,0.9997489958450457,0.9701161676109477
2020-01-06,1.0547335603497745,0.9997489958450457,1.0547335603497745
2020-01-07,1.0838507344647887,0.9997489958450457,1.0838507344647887
2020-01-08,1.0393364602086512,0.9997489958450457,1.0393364602086512
2020-01-09,1.0004403506366073,0.9997489958450457,1.0004403506366073
2020-01-10,1.084124354557845,0.9997489958450457,1.084124354557845
2020-01-11,1.0567029477981666,0.9997489958450457,1.0567029477981666
2020-01-12,1.1216213960577643,0.9997489958450457,1.1216213960577643
2020-01-13,1.0639988016453543,0.9997489958450457,1.0639988016453543
2020-01-14,1.4213996440564498,0.9997489958450457,1.4213996440564498
2020-01-15,1.4619168050743643,0.9997489958450457,1.4619168050743643
2020-01-16,1.4097148310241043,0.9997489958450457,1.4097148310241043
2020-01-17,1.5266087648559832,0.9997489958450457,1.5266087648559832
2020-01-18,1.5026024284131922,0.9997489958450457,1.5026024284131922
2020-01-19,1.3424214728990498,0.9997489958450457,1.3424214728990498
2020-01-20,1.3379120987917064,0.9997489958450457,1.3379120987917064
2020-01-21,1.3551865133767413,0.9997489958450457,1.3551865133767413
2020-01-22,1.3463706838948568,0.9997489958450457,1.3463706838948568
2020-01-23,1.314164715062711,0.9997489958450457,1.314164715062711
2020-01-24,1.3074044950360704,0.9997489958450457,1.3074044950360704
2020-01-25,1.3074044950360704,0.9997489958450457,1.3074044950360704
2020-01-26,1.3074044950360704,0.9997489958450457,1.3074044950360704
2020-01-27,1.301092513005253,0.9997489958450457,1.301092513005253
2020-01-28,1.3187901976543897,0.9997489958450457,1.3187901976543897
2020-01-29,1.2981587012870568,0.9997489958450457,1.2981587012870568
2020-01-30,1.3890057744933588,0.9997489958450457,1.3890057744933588
2020-01-31,1.3305796402277152,0.9997489958450457,1.3305796402277152
2020-02-01,1.3643341942093914,1.0263071117582028,1.365926200678106
2020-02-02,1.3625401488419528,1.0249652567850531,1.3641403075040879
2020-02-03,1.3621739731387699,1.0248190221707976,1.3639456818518156
2020-02-04,1.3528058329180468,1.0177601243300716,1.3545508979727099
2020-02-05,1.4423928961103127,1.0841382274297222,1.442894425106415
2020-02-06,1.4873089543107327,1.120405688862587,1.4911632865765128
2020-02-07,1.5301347216541978,1.1530976683737848,1.534673490154735
2020-02-08,1.529807935230536,1.1533367982496272,1.5349917513837918
2020-02-09,1.613036368889835,1.214891502982167,1.6169157515255639
2020-02-10,1.6348690546689868,1.2311982556202976,1.638618632097288
2020-02-11,1.6347487252859194,1.2311042869325748,1.6384935678829478
2020-02-12,1.6347487252859194,1.2311042869325748,1.6384935678829478
2020-02-13,1.6347487252859194,1.2311042869325748,1.6384935678829478
2020-02-14,1.6494140115435674,1.242293784115423,1.653385823036751
2020-02-15,1.6387708360592042,1.2337401930038325,1.6420017313985344
2020-02-16,1.6387708360592042,1.2337401930038325,1.6420017313985344
2020-02-17,1.6387708360592042,1.2337401930038325,1.6420017313985344
2020-02-18,1.6387708360592042,1.2337401930038325,1.6420017313985344
2020-02-19,1.6387708360592042,1.2337401930038325,1.6420017313985344
2020-02-20,1.6387708360592042,1.2337401930038325,1.6420017313985344
2020-02-21,1.6387708360592042,1.2337401930038325,1.6420017313985344
2020-02-22,1.6387708360592042,1.2337401930038325,1.6420017313985344
2020-02-23,1.6387708360592042,1.2337401930038325,1.6420017313985344
2020-02-24,1.6387708360592042,1.2337401930038325,1.6420017313985344
2020-02-25,1.6387708360592042,1.2337401930038325,1.6420017313985344
2020-02-26,1.6387708360592042,1.2337401930038325,1.6420017313985344
2020-02-27,1.6387708360592042,1.2337401930038325,1.6420017313985344
2020-02-28,1.6387708360592042,1.2337401930038325,1.6420017313985344
2020-02-29,1.6387708360592042,1.2337401930038325,1.6420017313985344
2020-03-01,1.6387708360592042,1.2337401930038325,1.6420017313985344
2020-03-02,1.6387708360592042,1.2337401930038325,1.6420017313985344
2020-03-03,1.6387708360592042,1.2337401930038325,1.6420017313985344
2020-03-04,1.618230304097499,1.2189437876362588,1.622308992708651
2020-03-05,1.6271174338666705,1.2256471315100113,1.6312305649402101
2020-03-06,1.6230973151448254,1.2226149758648597,1.627195027436089
2020-03-07,1.5890760836107414,1.1960713076566722,1.5918676956342495
2020-03-08,1.5888663098601572,1.1958966913850275,1.5916352964451845
2020-03-09,1.5888663098601572,1.1958966913850275,1.5916352964451845
2020-03-10,1.5888663098601572,1.1958966913850275,1.5916352964451845
2020-03-11,1.5888663098601572,1.1958966913850275,1.5916352964451845
2020-03-12,1.5888663098601572,1.1958966913850275,1.5916352964451845
2020-03-13,1.5888663098601572,1.1958966913850275,1.5916352964451845
2020-03-14,1.5888663098601572,1.1958966913850275,1.5916352964451845
2020-03-15,1.5888663098601572,1.1958966913850275,1.5916352964451845
2020-03-16,1.5604656512918842,1.1720098154491236,1.5598439258901244
2020-03-17,1.5493905057503508,1.1641525430035053,1.5493865743075654
2020-03-18,1.5493905057503508,1.1641525430035053,1.5493865743075654
2020-03-19,1.5493905057503508,1.1641525430035053,1.5493865743075654
2020-03-20,1.5493905057503508,1.1641525430035053,1.5493865743075654
2020-03-21,1.5493905057503508,1.1641525430035053,1.5493865743075654
2020-03-22,1.5493905057503508,1.1641525430035053,1.5493865743075654
2020-03-23,1.5493905057503508,1.1641525430035053,1.5493865743075654
2020-03-24,1.5493905057503508,1.1641525430035053,1.5493865743075654
2020-03-25,1.5493905057503508,1.1641525430035053,1.5493865743075654
2020-03-26,1.5493905057503508,1.1641525430035053,1.5493865743075654
2020-03-27,1.5493905057503508,1.1641525430035053,1.5493865743075654
2020-03-28,1.5493905057503508,1.1641525430035053,1.5493865743075654
2020-03-29,1.5493905057503508,1.1641525430035053,1.5493865743075654
2020-03-30,1.5493905057503508,1.1641525430035053,1.5493865743075654
2020-03-31,1.5493905057503508,1.1641525430035053,1.5493865743075654
2020-04-01,1.5493905057503508,1.1641525430035053,1.5493865743075654
2020-04-02,1.5332004231456624,1.1514148036244136,1.532433742395971
2020-04-03,1.5313122291256416,1.1486494844313653,1.5287533411829735
2020-04-04,1.553822627620244,1.1650979778517623,1.5506448665043873
2020-04-05,1.5381274150150048,1.153887653664522,1.5357248924050022
2020-04-06,1.7020550621178834,1.2749560359145573,1.696856461595567
2020-04-07,1.6778991658065059,1.256881698097357,1.6728010776840918
2020-04-08,1.7608924669296486,1.3190481357992057,1.755539241618577
2020-04-09,1.7483106722610473,1.3096223233930953,1.742994298705606
2020-04-10,1.6198749959176744,1.2132762093177218,1.6147659350497967
2020-04-11,1.6198749959176744,1.2132762093177218,1.6147659350497967
2020-04-12,1.6065312385811878,1.203261848646351,1.6014376851844792
2020-04-13,1.5929591304272295,1.1936245295526562,1.588611245122282
2020-04-14,1.58735369288273,1.1883442636228698,1.5815836668297696
2020-04-15,1.5459736802463586,1.1568971104544346,1.5397302196915963
2020-04-16,1.5698522516680748,1.176762310073672,1.5661690861193387
2020-04-17,1.5677327595185433,1.1747781225653493,1.5635412787624832
2020-04-18,1.6544235594169265,1.2394134170155406,1.6495674299703802
2020-04-19,1.565659673345107,1.1726535387013026,1.560714978170133
2020-04-20,1.4382610967681755,1.072434062450044,1.4273302805356285
2020-04-21,1.4378445864365492,1.072434062450044,1.4269169356917597
2020-04-22,1.4378445864365492,1.072434062450044,1.4269169356917597
2020-04-23,1.4429697156111834,1.072434062450044,1.4320031137710039
2020-04-24,1.495413165566643,1.1127352618122575,1.4847112297693497
2020-04-25,1.544457220580105,1.1491713901199871,1.5333326714455957
2020-04-26,1.5664454758143815,1.1656686100220515,1.5553448155707785
2020-04-27,1.5203399743721617,1.1311708437166133,1.5093146475533687
2020-04-28,1.543015497151322,1.1474679656431284,1.531059802118911
2020-04-29,1.8274771581142093,1.359493659172461,1.8139644461689963
2020-04-30,1.7047625788189862,1.2685739934556448,1.6926508674294927
2020-05-01,1.7198517307999193,1.2813635061159157,1.709715839445384
2020-05-02,1.7411973621913512,1.2985633343750096,1.7326654697961432
2020-05-03,1.7050680091612302,1.2687074934559768,1.6928289956999203
2020-05-04,1.664096598486382,1.236180073082861,1.649427848747649
2020-05-05,1.6617651124870334,1.2343320036451697,1.6469619804948583
2020-05-06,1.6473588396560193,1.223425096500396,1.6324089580185865
2020-05-07,1.6975612504328088,1.2589813097633011,1.6798514056270386
2020-05-08,1.6945034687580551,1.2567301253503602,1.676847663418097
2020-05-09,1.6810079289693811,1.2467614969247702,1.6635465807546463
2020-05-10,1.6282760696517253,1.2072880455240862,1.6108773851866387
2020-05-11,1.6309189751945974,1.2096288126077948,1.614000657029771
2020-05-12,1.6103909303525297,1.195775674380691,1.5955164956346182
2020-05-13,1.5913341068805875,1.1822731980408376,1.5775002203467723
2020-05-14,1.5816841519871834,1.1738826034601797,1.5666198577961088
2020-05-15,1.5815641896690371,1.1738045388008647,1.56651777955242
2020-05-16,1.5815641896690371,1.1738045388008647,1.56651777955242
2020-05-17,1.5815641896690371,1.1738045388008647,1.56651777955242
2020-05-18,1.5815641896690371,1.1738045388008647,1.56651777955242
2020-05-19,1.5815641896690371,1.1738045388008647,1.56651777955242
2020-05-20,1.5815641896690371,1.1738045388008647,1.56651777955242
2020-05-21,1.5729070532818747,1.1658370710217303,1.55609814695528
2020-05-22,1.5553521712774059,1.1533955359260706,1.5394398108397112
2020-05-23,1.5537947839745556,1.1532497859733486,1.5393465859802922
2020-05-24,1.5754666886363984,1.172797802190456,1.5638548745224434
2020-05-25,1.560582695264135,1.1591831386051539,1.5470461065883694
2020-05-26,1.563372273942139,1.161658220635705,1.550211988156489
2020-05-27,1.5490911087217796,1.1487904050862927,1.5342555038984054
2020-05-28,1.534117733222361,1.1376089597909333,1.519343351726046
2020-05-29,1.5370144890208406,1.136102313278636,1.519880715911199
2020-05-30,1.6369708573739443,1.2126155251093949,1.6206400654149853
2020-05-31,1.4990829658777172,1.1108426617552323,1.4846223611151161
2020-06-01,1.6749175199021382,1.239691244847305,1.6580353408357777
2020-06-02,1.551637572501114,1.1498564219515843,1.5378850116163645
2020-06-03,1.5798196131371853,1.1768139398920021,1.570380847534555
